State,1990
The United States,"60,370"
Alabama,"47,092"
Alaska,"79,231"
Arizona,"58,921"
Arkansas,"45,940"
California,"67,118"
Colorado,"61,963"
Connecticut,"78,369"
Delaware,"62,106"
District of Columbia,"55,227"
Florida,"53,801"
Georgia,"55,568"
Hawaii,"78,471"
Idaho,"51,019"
Illinois,"65,610"
Indiana,"54,291"
Iowa,"55,017"
Kansas,"60,318"
Kentucky,"49,961"
Louisiana,"45,172"
Maine,"55,372"
Maryland,"78,342"
Massachusetts,"73,080"
Michigan,"60,358"
Minnesota,"63,439"
Mississippi,"40,682"
Missouri,"55,106"
Montana,"47,128"
Nebraska,"55,408"
Nevada,"64,564"
New Hampshire,"82,270"
New Jersey,"78,094"
New Mexico,"50,483"
New York,"63,693"
North Carolina,"53,084"
North Dakota,"50,937"
Ohio,"60,511"
Oklahoma,"49,162"
Oregon,"59,035"
Pennsylvania,"58,479"
Rhode Island,"64,453"
South Carolina,"57,935"
South Dakota,"49,539"
Tennessee,"45,549"
Texas,"56,912"
Utah,"60,771"
Vermont,"62,699"
Virginia,"70,713"
Washington,"64,743"
West Virginia,"44,632"
Wisconsin,"61,919"
Wyoming,"59,396"
