,College,Rank,State,Grades,Students,Majors,Acceptance Rate
0,https://www.niche.com/colleges/university-of-michigan---penny-w-stamps-school-of-art--and--design/,1,"<re.Match object; span=(185, 189), match=', MI'>",{},,[],
1,https://www.niche.com/colleges/university-of-new-mexico-online/,2,,{},,[],
2,https://www.niche.com/colleges/university-of-north-carolina-greensboro-online/,3,,{},,"['Liberal Arts and Humanities', 'Nursing', 'and Computer Systems Networking and Telecommunications']",
3,https://www.niche.com/colleges/olivet-nazarene-university/,4,"<re.Match object; span=(142, 146), match=', IL'>","{'Academics': 'B-', 'Value': 'A-', 'Diversity': 'B+', 'Campus': 'B-', 'Athletics': 'B', 'Party Scene': 'D+', 'Professors': 'C+', 'Location': 'C+', 'Dorms': 'B+', 'Campus Food': 'C-', 'Student Life': 'B-', 'Safety': 'A-'}",,[],
4,https://www.niche.com/colleges/university-of-north-carolina-wilmington-online-education/,5,,{},,"['Kinesiology and Exercise Science', 'Elementary Education', 'and Criminology']",
5,https://www.niche.com/colleges/university-of-north-carolina-at-pembroke-online-learning/,6,,{},,"['Criminal Justice and Safety Studies', 'Sociology', 'and Physical Education Teaching and Coaching']",
6,https://www.niche.com/colleges/university-of-north-dakota-online/,7,,{},,['Mining and Petroleum Engineering and Engineering'],
7,https://www.niche.com/colleges/university-of-north-texas-online/,8,,{},,"['Criminal Justice and Safety Studies', 'Rehabilitation and Therapy', 'and Mathematics']",
8,https://www.niche.com/colleges/university-of-northwestern-st-paul-online/,9,,{},,"['Biblical Studies', 'Liberal Arts and Humanities', 'and Clinical Psychology']",
9,https://www.niche.com/colleges/university-of-south-dakota-online/,10,,{},,"['Liberal Arts and Humanities', 'Criminal Justice and Safety Studies', 'and Graphic Design']",
10,https://www.niche.com/colleges/university-of-tennessee-at-martin-online/,11,,{},,"['Agricultural Business', 'Business', 'and Criminal Justice and Law Enforcement Administration']",
11,https://www.niche.com/colleges/university-of-texas-arlington-online/,12,,{},,"['Nursing', 'Liberal Arts and Humanities', 'and Criminal Justice and Safety Studies']",
12,https://www.niche.com/colleges/university-of-texas-permian-basin-online-learning/,13,,{},,[],
13,https://www.niche.com/colleges/university-of-west-florida-online/,14,,{},,"['Health Service Preparatory Studies', 'Special Education and Teaching', 'and Education']",
14,https://www.niche.com/colleges/university-of-west-georgia-online/,15,,{},,['Business and Criminology'],
15,https://www.niche.com/colleges/university-of-west-los-angeles/,16,"<re.Match object; span=(45, 49), match=', CA'>",{},0,[],
16,https://www.niche.com/colleges/university-of-wisconsin-green-bay-online/,17,,{},,['Nursing and Medical Records Administration'],
17,https://www.niche.com/colleges/university-of-wisconsin-milwaukee-online/,18,,{},,"['Liberal Arts and Humanities', 'Nursing', 'and Computer Science']",
18,https://www.niche.com/colleges/university-of-the-incarnate-word-online/,19,,{},,"['Business', 'Marketing', 'and Human Resources']",
19,https://www.niche.com/colleges/upper-iowa-university-online/,20,,{},,"['Business', 'Psychology', 'and Nursing']",
20,https://www.niche.com/colleges/utah-state-university-online/,21,,{},,"['Liberal Arts and Humanities', 'Economics', 'and Communication Disorders']",
21,https://www.niche.com/colleges/utah-valley-university-online/,22,,{},,"['Liberal Arts and Humanities', 'Business', 'and Psychology']",
22,https://www.niche.com/colleges/utica-college-online/,23,,{},,[],
23,https://www.niche.com/colleges/valdosta-state-university-online/,24,,{},,[],
24,https://www.niche.com/colleges/university-of-illinois-urbana-champaign/,25,"<re.Match object; span=(218, 222), match=', IL'>","{'Academics': 'A+', 'Value': 'A+', 'Diversity': 'A+', 'Campus': 'B+', 'Athletics': 'A', 'Party Scene': 'A+', 'Professors': 'A+', 'Location': 'B+', 'Dorms': 'B-', 'Campus Food': 'A-', 'Student Life': 'A+', 'Safety': 'B-'}",,[],
25,https://www.niche.com/colleges/illinois-central-college/,26,"<re.Match object; span=(135, 139), match=', IL'>","{'Professors': 'C+', 'Value': 'B-', 'Diversity': 'B', 'Safety': 'A', 'Student Life': 'C-', 'Location': 'C+'}",,[],
