X.25,X25.75,X.75,<25,25-75,>75
,,,West Virginia,NA,NA
,,,Tennessee,NA,NA
,,,South Carolina,NA,NA
,,,Oklahoma,NA,NA
,,,Ohio,NA,NA
,,,New Mexico,NA,NA
,,,Mississippi,NA,NA
,,,Louisiana,NA,NA
,,,Kentucky,NA,NA
,,,Georgia,NA,NA
,,,Florida,NA,NA
,,,Arkansas,NA,NA
,,,Alabama,NA,NA
,,,NA,Wyoming,NA
,,,NA,Wisconsin,NA
,,,NA,Virginia,NA
,,,NA,Vermont,NA
,,,NA,The United States,NA
,,,NA,Texas,NA
,,,NA,South Dakota,NA
,,,NA,Rhode Island,NA
,,,NA,Pennsylvania,NA
,,,NA,North Dakota,NA
,,,NA,North Carolina,NA
,,,NA,New York,NA
,,,NA,Nevada,NA
,,,NA,Nebraska,NA
,,,NA,Montana,NA
,,,NA,Missouri,NA
,,,NA,Minnesota,NA
,,,NA,Michigan,NA
,,,NA,Maine,NA
,,,NA,Kansas,NA
,,,NA,Iowa,NA
,,,NA,Indiana,NA
,,,NA,Illinois,NA
,,,NA,Idaho,NA
,,,NA,Delaware,NA
,,,NA,Arizona,NA
,,,NA,NA,Washington
,,,NA,NA,Utah
,,,NA,NA,Oregon
,,,NA,NA,New Jersey
,,,NA,NA,New Hampshire
,,,NA,NA,Massachusetts
,,,NA,NA,Maryland
,,,NA,NA,Hawaii
,,,NA,NA,District of Columbia
,,,NA,NA,Connecticut
,,,NA,NA,Colorado
,,,NA,NA,California
,,,NA,NA,Alaska
