ZIPCODE,Frequency
60614,2865
60601,6052
60632,4398
60624,9348
60615,5393
60621,8636
60629,5149
60613,2529
60619,11181
60620,10074
60602,5017
60653,5596
60654,4052
60623,7958
60641,4585
60643,4270
60657,5669
60607,4039
60637,6443
60617,5426
60640,3593
60647,6609
60609,3236
60639,6281
60616,5173
60649,11289
60618,3694
60652,2462
60626,3719
60633,866
60644,6564
60659,2639
60501,129
60612,5829
60628,7548
60636,8250
60638,2428
60651,6153
60630,2160
60622,5710
60608,3453
60645,1918
60827,1542
60646,743
60625,3918
60642,2364
60610,2643
60605,3206
60634,1286
60655,792
60706,836
60805,449
60459,396
60106,489
60660,3055
60606,1916
60631,1038
60302,945
60176,512
60656,606
60707,1373
60456,304
46320,525
60714,150
60171,21
60534,104
60068,159
60712,301
60611,139
65692,2
60304,116
60018,56
60804,199
60803,68
60007,2
60406,30
60453,1
